question,intent,original_faq_id
เรียนหลักสูตรนี้,program,1
หลักสูตร อส.บ. ยั่งยืน,program,1
บอกเกี่ยวกับหลักสูตร,program,1
หลักสูตร อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน เรียนกี่ปี,program,4
หลักสูตรนี้เป็นยังไง,program,4
เรียนหลักสูตรนี้,program,4
หลักสูตร อส.บ. ยั่งยืน,program,4
บอกเกี่ยวกับหลักสูตร,program,4
เรียนนานแค่ไหน,program,4
ใช้เวลากี่ปี,program,4
เรียนกี่ปีจบ,program,4
ระยะเวลาเรียน,program,4
หลักสูตร อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน เรียนเกี่ยวกับอะไร,program,5
หลักสูตรนี้เป็นยังไง,program,5
เรียนหลักสูตรนี้,program,5
หลักสูตร อส.บ. ยั่งยืน,program,5
บอกเกี่ยวกับหลักสูตร,program,5
เรียนอะไร,program,5
เรียนวิชาอะไรบ้าง,program,5
มีวิชาอะไร,program,5
เนื้อหาการเรียน,program,5
อส.บ. ต่างจาก วศ.บ. (วิศวกรรมศาสตรบัณฑิต) อย่างไร,program,6
หลักสูตรนี้เป็นยังไง,program,6
เรียนหลักสูตรนี้,program,6
หลักสูตร อส.บ. ยั่งยืน,program,6
บอกเกี่ยวกับหลักสูตร,program,6
หลักสูตร อส.บ. ยั่งยืน มีภาคสมทบไหม,program,9
หลักสูตรนี้เป็นยังไง,program,9
เรียนหลักสูตรนี้,program,9
หลักสูตร อส.บ. ยั่งยืน,program,9
บอกเกี่ยวกับหลักสูตร,program,9
มีเรียนภาคสมทบไหม,program,9
เรียนภาคสมทบได้ไหม,program,9
ภาคสมทบ,program,9
SIME เน้นการเรียนการสอนเรื่องอะไรบ้าง,program,13
SIME มีหลักสูตรปริญญาโทด้วยไหม,program,14
หลักสูตรนี้เป็นยังไง,program,14
เรียนหลักสูตรนี้,program,14
หลักสูตร อส.บ. ยั่งยืน,program,14
บอกเกี่ยวกับหลักสูตร,program,14
ปรัชญาของหลักสูตร SIME คืออะไร,program,24
หลักสูตรนี้เป็นยังไง,program,24
เรียนหลักสูตรนี้,program,24
หลักสูตร อส.บ. ยั่งยืน,program,24
บอกเกี่ยวกับหลักสูตร,program,24
วัตถุประสงค์ของหลักสูตร SIME มีอะไรบ้าง,program,25
หลักสูตรนี้เป็นยังไง,program,25
เรียนหลักสูตรนี้,program,25
หลักสูตร อส.บ. ยั่งยืน,program,25
บอกเกี่ยวกับหลักสูตร,program,25
หลักสูตร SIME ผลิตบัณฑิตให้มีทักษะอะไรบ้าง,program,26
หลักสูตรนี้เป็นยังไง,program,26
เรียนหลักสูตรนี้,program,26
หลักสูตร อส.บ. ยั่งยืน,program,26
บอกเกี่ยวกับหลักสูตร,program,26
SIME เน้นผลิตบุคลากรแบบไหน,program,27
หลักสูตร SIME มุ่งเน้นความยั่งยืนอย่างไร,program,28
หลักสูตรนี้เป็นยังไง,program,28
เรียนหลักสูตรนี้,program,28
หลักสูตร อส.บ. ยั่งยืน,program,28
บอกเกี่ยวกับหลักสูตร,program,28
SIME สอนเรื่องการจัดการอุตสาหกรรมอะไรบ้าง,program,30
ชื่อเต็มของหลักสูตร SIME คือ,program,32
หลักสูตรนี้เป็นยังไง,program,32
เรียนหลักสูตรนี้,program,32
หลักสูตร อส.บ. ยั่งยืน,program,32
บอกเกี่ยวกับหลักสูตร,program,32
ปริญญาที่ได้จาก SIME คืออะไร,program,33
วศ.ม. ย่อมาจากอะไร,program,34
M.Eng. คืออะไร,program,35
SIME ออกชื่อภาษาอังกฤษว่าอะไร,program,36
ค่าเทอม อส.บ. วิศวกรรมเทคโนโลยีนวัตกรรมเพื่อความยั่งยืน เท่าไหร่,tuition,3
ค่าเทอม,tuition,3
ค่าเทอมเท่าไหร่,tuition,3
ค่าใช้จ่าย,tuition,3
เสียเงินเท่าไหร่,tuition,3
เทอมละเท่าไหร่,tuition,3
