question,intent
สิ่งอำนวยความสะดวกภายในคณะ,ask_facility
มีห้องปฏิบัติการไหม,ask_facility
เครื่องมืออุปกรณ์,ask_facility
wifi มีไหม,ask_facility
ห้องน้ำสะอาดไหม,ask_facility
มีที่จอดรถไหม,ask_facility
โรงอาหาร,ask_facility
ร้านสะดวกซื้อ,ask_facility
เช็คผลสอบยังไง,ask_grade
ดูเกรด,ask_grade
เข้าระบบทะเบียน,ask_grade
ลงทะเบียนเรียน,ask_grade
ผลสอบ,ask_grade
เกรดเฉลี่ย,ask_grade
ระบบทะเบียน,ask_grade
ตรวจสอบผลการเรียน,ask_grade
เข้าระบบ reg,ask_grade
ลงวิชาเรียน,ask_grade
ดูเกรดที่ไหน,ask_grade
ผลสอบออกหรือยัง,ask_grade
เกรดออกเมื่อไหร่,ask_grade
ลงทะเบียนเรียนเพิ่ม,ask_grade
ถอนวิชาได้ไหม,ask_grade
มีข่าวอะไรบ้าง,ask_news
กิจกรรมล่าสุด,ask_news
ข่าวประกาศ,ask_news
มีอะไรใหม่บ้าง,ask_news
ข่าวสาร,ask_news
กิจกรรมคณะ,ask_news
ประกาศ,ask_news
ข่าวคณะ,ask_news
อัพเดทข่าว,ask_news
กิจกรรมนักศึกษา,ask_news
เปิดเทอมเมื่อไหร่,ask_news
ปิดเทอมวันไหน,ask_news
วันหยุด,ask_news
ตารางสอบ,ask_news
ติดต่อคณะยังไง,ask_contact
เบอร์โทรศัพท์,ask_contact
อีเมล,ask_contact
ที่อยู่คณะ,ask_contact
ติดต่อ,ask_contact
โทรศัพท์คณะ,ask_contact
ช่องทางติดต่อ,ask_contact
email คณะ,ask_contact
สถานที่ตั้ง,ask_contact
เบอร์ติดต่อ,ask_contact
Line Official มีไหม,ask_contact
Facebook คณะ,ask_contact
โทรหาใครดี,ask_contact
สอบถามข้อมูล,ask_contact
สวัสดี,other
สวัสดีครับ,other
ขอบคุณ,other
ขอบคุณครับ,other
ช่วยเหลือ,other
ช่วยด้วย,other
hello,other
hi,other
thank you,other
bye,other
